Reaction,Subsystem
10FTHFtm,"Transport, Mitochondrial"
11DOCRTSLtm,"Transport, Mitochondrial"
11DOCRTSLtr,"Transport, Endoplasmic reticular"
11DOCRTSTRNtm,"Transport, Mitochondrial"
11DOCRTSTRNtr,"Transport, Endoplasmic reticular"
2AMACSULT,"Methionine and cysteine metabolism"
2AOBUTtm,"Transport, Mitochondrial"
2HYOXPLCte,"Transport, Extracellular"
34DHMORx,"Unassigned"
34DHMORy,"Unassigned"
34DHXMANDACOXy,"Tyrosine metabolism"
3HAD100m,"Fatty acid oxidation"
3HAD140m,"Fatty acid oxidation"
3HAD241n9p,"Fatty acid oxidation"
3HAD60m,"Fatty acid oxidation"
3HAD80m,"Fatty acid oxidation"
3HDH100m,"Fatty acid oxidation"
3HDH140m,"Fatty acid oxidation"
3HDH241n9p,"Fatty acid oxidation"
3HDH60m,"Fatty acid oxidation"
3HDH80m,"Fatty acid oxidation"
3HGLUTCOAm,"Lysine metabolism"
3OHGLUTACm,"Lysine metabolism"
3OHGLUTACtm,"Transport, Mitochondrial"
4ABUTtm,"Transport, Mitochondrial"
4MPTNLte,"Transport, Extracellular"
4MPTNLtm,"Transport, Mitochondrial"
AAPSAS,"Lysine metabolism"
ABTArm,"Glutamate metabolism"
ACACPYRte,"Transport, Extracellular"
ACACT100m,"Fatty acid oxidation"
ACACT140m,"Fatty acid oxidation"
ACACT224n6p,"Fatty acid oxidation"
ACACT60m,"Fatty acid oxidation"
ACACT80m,"Fatty acid oxidation"
ACACt2,"Transport, Extracellular"
ACGAM6PSi,"Aminosugar metabolism"
ACGAMK,"Aminosugar metabolism"
ACGAMPM,"Aminosugar metabolism"
ACGAMtly,"Transport, Lysosomal"
ACHe,"Transport, Extracellular"
ACNAM9PL,"Aminosugar metabolism"
ACNAMPH,"Aminosugar metabolism"
ACNAMlt,"Transport, Lysosomal"
ACOA40ORm,"Fatty acid oxidation"
ACOAD100m,"Fatty acid oxidation"
ACOAD140m,"Fatty acid oxidation"
ACOAD241n9p,"Fatty acid oxidation"
ACOAD60m,"Fatty acid oxidation"
ACOAD80m,"Fatty acid oxidation"
ACOATE100m,"Fatty acid oxidation"
ACOATE221,"Fatty acid oxidation"
ACOATE80m,"Fatty acid oxidation"
ACONTa,"Citric acid cycle"
ACONTb,"Citric acid cycle"
ADK3,"Nucleotide interconversions"
AHEXASEly,"N-glycan degradation"
AKGFORte,"Transport, Extracellular"
ALABte,"Transport, Extracellular"
ALA_DTDe,"Transport, Extracellular"
ALCD21_D,"Pyruvate metabolism"
ALCD22_D,"Pyruvate metabolism"
ALDD19x,"Phenylalanine metabolism"
ALDD19y,"Phenylalanine metabolism"
AMANK,"Aminosugar metabolism"
AMETt2m,"Transport, Mitochondrial"
AMPDA,"Nucleotide salvage pathway"
ARACHDtr,"Transport, Endoplasmic reticular"
ARCOAATp,"Carnitine metabolism"
ARGATB0tc,"Transport, Extracellular"
ARGHIStm,"Transport, Mitochondrial"
ARGt4,"Transport, Extracellular"
ARGtm,"Transport, Mitochondrial"
ARSA,"Sphingolipid metabolism"
ARTFR12,"R group synthesis"
ARTFR41,"R group synthesis"
ASCBtr,"Transport, Extracellular"
ASNN,"Alanine and aspartate metabolism"
ASP1DC,"B-alanine metabolism"
ATP1ter,"Transport, Endoplasmic reticular"
A_MANASEly,"N-glycan degradation"
Asn_X_Ser/Thrtr,"Transport, Endoplasmic reticular"
BDMT,"N-glycan synthesis"
BETALDHxm,"Glycine, serine and threonine metabolism"
BHMT,"Glycine, serine and threonine metabolism"
BILIRUBt2,"Transport, Extracellular"
BILIRUBte,"Transport, Extracellular"
BTCOACRNtm,"Transport, Mitochondrial"
B_MANNASEly,"N-glycan degradation"
C161CPT1,"Carnitine metabolism"
CACT4r,"Transport, Endoplasmic reticular"
CACT7p,"Transport, Mitochondrial"
CAT,"ROS detoxification"
CATp,"ROS detoxification"
CHLPCTD,"Glycerophospholipid metabolism"
CHLtm,"Transport, Mitochondrial"
CHOLD2m,"Glycine, serine and threonine metabolism"
CMPACNAtg,"Transport, Golgi Apparatus"
CMPSAS,"Aminosugar metabolism"
CRNCARtp,"Transport, Peroxisomal"
CRTSLt,"Transport, Extracellular"
CRTSLtm,"Transport, Mitochondrial"
CRTSTRNt,"Transport, Extracellular"
CRTSTRNtm,"Transport, Mitochondrial"
CSNATp,"Carnitine metabolism"
CSNATr,"Carnitine metabolism"
CYSDDS,"Methionine and cysteine metabolism"
CYTK8,"Nucleotide interconversions"
DADK3,"Nucleotide interconversions"
DAGKm_hs,"Glycerophospholipid metabolism"
DAG_Hstem,"Transport, Endoplasmic reticular"
DAGt,"Transport, Extracellular"
DALAt2r,"Transport, Extracellular"
DASCBR,"Vitamin C metabolism"
DESAT18_1,"Fatty acid desaturation"
DGAT,"Glycerophospholipid metabolism"
DHCR242r,"Cholesterol metabolism"
DHFtm,"Transport, Mitochondrial"
DMGDHm,"Glycine, serine and threonine metabolism"
DMGtm,"Transport, Mitochondrial"
DM_datp[m],"Exchange/Demand"
DM_n5m2masn[g],"Exchange/Demand"
DOCO13ACtr,"Transport, Extracellular"
DOCOSECOAtr,"Transport, Endoplasmic reticular"
DOLASNTer,"N-glycan synthesis"
DOLDPPer,"N-glycan synthesis"
DOLGLCP_ter,"Transport, Endoplasmic reticular"
DOLMANP_ter,"Transport, Endoplasmic reticular"
DOLPGT1er,"N-glycan synthesis"
DOLPGT2er,"N-glycan synthesis"
DOLPGT3er,"N-glycan synthesis"
DOLPMT,"N-glycan synthesis"
DOLPMT1er,"N-glycan synthesis"
DOLPMT2_er,"N-glycan synthesis"
DOLPMT3er,"N-glycan synthesis"
DOLPMT4_er,"N-glycan synthesis"
DOLP_ter,"Transport, Endoplasmic reticular"
DTMPtm,"Transport, Mitochondrial"
DURIt,"Transport, Extracellular"
D_LACt2,"Transport, Extracellular"
ECOAH1m,"Tryptophan metabolism"
ENGASEly,"N-glycan degradation"
ENO,"Glycolysis/Gluconeogenesis"
ETHMALACc,"Fatty acid oxidation"
ETHMALACte,"Transport, Extracellular"
ETHMALCOAc,"Fatty acid oxidation"
EX_2hyoxplac(e),"Exchange/Demand"
EX_3ohglutac(e),"Exchange/Demand"
EX_4mptnl(e),"Exchange/Demand"
EX_acgam(e),"Exchange/Demand"
EX_ala_B(e),"Exchange/Demand"
EX_ascb_L(e),"Exchange/Demand"
EX_crtsl(e),"Exchange/Demand"
EX_crtstrn(e),"Exchange/Demand"
EX_cys_L(e),"Exchange/Demand"
EX_doco13ac(e),"Exchange/Demand"
EX_ethmalac(e),"Exchange/Demand"
EX_fuc_L(e),"Exchange/Demand"
EX_gal(e),"Exchange/Demand"
EX_glcur(e),"Exchange/Demand"
EX_gly(e),"Exchange/Demand"
EX_h2o(e),"Exchange/Demand"
EX_kynate(e),"Exchange/Demand"
EX_lac_D(e),"Exchange/Demand"
EX_o2s(e),"Exchange/Demand"
EX_prgstrn(e),"Exchange/Demand"
EX_ser_L(e),"Exchange/Demand"
EX_succ(e),"Exchange/Demand"
EX_trpiletrp(e),"Exchange/Demand"
EX_valval(e),"Exchange/Demand"
EX_wharachd(e),"Exchange/Demand"
F6T2g,"N-glycan synthesis"
FACOAL100im,"Fatty acid activation"
FACOAL140i,"Fatty acid activation"
FACOAL80im,"Fatty acid activation"
FADH2ETC,"Oxidative phosphorylation"
FAE201,"Fatty acid elongation"
FAE221,"Fatty acid elongation"
FAE241,"Fatty acid elongation"
FALDtm,"Transport, Mitochondrial"
FE3tm,"Transport, Mitochondrial"
FKYNH,"Tryptophan metabolism"
FTMTm,"Unassigned"
FUCASEe,"N-glycan degradation"
G12MT1,"N-glycan synthesis"
G12MT2,"N-glycan synthesis"
G13MT,"N-glycan synthesis"
G14Tg,"N-glycan synthesis"
G16MT,"N-glycan synthesis"
