Reaction,Subsystem
11DOCRTSLtm,"Transport, Mitochondrial"
11DOCRTSLtr,"Transport, Endoplasmic reticular"
2AMACHYD,"Glycine, serine and threonine metabolism"
2AMACSULT,"Methionine and cysteine metabolism"
34DHOXPEGOX,"Tyrosine metabolism"
34DHOXPEGt,"Transport, Extracellular"
34DHPLACOXy,"Tyrosine metabolism"
3HAD224n6p,"Fatty acid oxidation"
3HDH224n6p,"Fatty acid oxidation"
3HGLUTCOAm,"Lysine metabolism"
3MLDAt,"Transport, Extracellular"
3OHGLUTACOAT3t,"Transport, Extracellular"
3OHGLUTACm,"Lysine metabolism"
3OHGLUTACtm,"Transport, Mitochondrial"
4OHPROIMINOtc,"Transport, Extracellular"
AACOAT,"Propanoate metabolism"
AAPSAS,"Lysine metabolism"
AATA,"Lysine metabolism"
ACACT1r,"Tryptophan metabolism"
ACACT224n6p,"Fatty acid oxidation"
ACGAMK,"Aminosugar metabolism"
ACGAMtly,"Transport, Lysosomal"
ACNAM9PL,"Aminosugar metabolism"
ACNAMPH,"Aminosugar metabolism"
ACNAMlt,"Transport, Lysosomal"
ACOATE80m,"Fatty acid oxidation"
ACRNtm,"Transport, Mitochondrial"
AG13T1g,"Keraton sulfate synthesis"
AG13T2g,"Keraton sulfate synthesis"
AG13T3g,"Keraton sulfate synthesis"
AKGACONtm,"Transport, Mitochondrial"
AKGSUCCtm,"Transport, Mitochondrial"
AMANK,"Aminosugar metabolism"
AMPDA,"Nucleotide salvage pathway"
AMPt4,"Transport, Mitochondrial"
ARCOAATp,"Carnitine metabolism"
ARGCITRt2m,"Transport, Mitochondrial"
ARGN,"Urea cycle"
ARTFR45,"R group synthesis"
ASCBt5,"Transport, Extracellular"
ASCBtr,"Transport, Extracellular"
ASNN,"Alanine and aspartate metabolism"
ASPTA,"Alanine and aspartate metabolism"
B3GALT44g,"Sphingolipid metabolism"
B3GALTg,"Blood group synthesis"
B3GNT39g,"Sphingolipid metabolism"
B3GNT51g,"Blood group synthesis"
BDMT,"N-glycan synthesis"
BUTt2m,"Transport, Mitochondrial"
CACT6r,"Transport, Endoplasmic reticular"
CACT7p,"Transport, Mitochondrial"
CEPTE,"Glycerophospholipid metabolism"
CERT2gt,"Transport, Golgi Apparatus"
CHOLESTTDe,"Transport, Extracellular"
CHOLK,"Glycerophospholipid metabolism"
CHOLtg,"Transport, Golgi Apparatus"
CHOLtr,"Transport, Endoplasmic reticular"
CHSTEROLt,"Transport, Extracellular"
CK,"Urea cycle"
CMPACNAtg,"Transport, Golgi Apparatus"
CMPSAS,"Aminosugar metabolism"
COAtp,"Transport, Peroxisomal"
CORE2GTg,"O-glycan synthesis"
CREATtmdiffir,"Transport, Mitochondrial"
CRNCARtp,"Transport, Peroxisomal"
CRNtr,"Transport, Endoplasmic reticular"
CRTNsyn,"Urea cycle"
CRTNte,"Transport, Extracellular"
CRTSLt,"Transport, Extracellular"
CRTSLtm,"Transport, Mitochondrial"
CSNATm,"Carnitine metabolism"
CSNATp,"Carnitine metabolism"
CYSDDS,"Methionine and cysteine metabolism"
CYSt4,"Transport, Extracellular"
CYTK1,"Nucleotide interconversions"
DHFR3m,"Folate metabolism"
DHFR3x,"Folate metabolism"
DHFRm,"Folate metabolism"
DOLASNTer,"N-glycan synthesis"
DOLDPPer,"N-glycan synthesis"
DOLGLCP_ter,"Transport, Endoplasmic reticular"
DOLPGT1er,"N-glycan synthesis"
DOLPGT2er,"N-glycan synthesis"
DOLPGT3er,"N-glycan synthesis"
DOLPMT1er,"N-glycan synthesis"
DOLPMT2_er,"N-glycan synthesis"
DOLPMT3er,"N-glycan synthesis"
DOLPMT4_er,"N-glycan synthesis"
DURIPP,"Nucleotide salvage pathway"
D_LACt2,"Transport, Extracellular"
ECOAH1m,"Tryptophan metabolism"
ESTRADIOLtr,"Transport, Endoplasmic reticular"
ESTRONESt5e,"Transport, Extracellular"
ESTRONEtr,"Transport, Endoplasmic reticular"
EX_34dhoxpeg(e),"Exchange/Demand"
EX_3mlda(e),"Exchange/Demand"
EX_3ohglutac(e),"Exchange/Demand"
EX_4abut(e),"Exchange/Demand"
EX_ascb_L(e),"Exchange/Demand"
EX_crtn(e),"Exchange/Demand"
EX_crtsl(e),"Exchange/Demand"
EX_for(e),"Exchange/Demand"
EX_fuc14galacglcgalgluside_hs(e),"Exchange/Demand"
EX_glyhisasn(e),"Exchange/Demand"
EX_gp1calpha_hs(e),"Exchange/Demand"
EX_i(e),"Exchange/Demand"
EX_ileglyarg(e),"Exchange/Demand"
EX_lac_D(e),"Exchange/Demand"
EX_n2m2nmasn(e),"Exchange/Demand"
EX_ser_L(e),"Exchange/Demand"
EX_succ(e),"Exchange/Demand"
EX_taur(e),"Exchange/Demand"
EX_triodthysuf(e),"Exchange/Demand"
EX_tsul(e),"Exchange/Demand"
EX_urea(e),"Exchange/Demand"
FA40ACPH,"Fatty acid synthesis"
FACOAL40im,"Fatty acid activation"
FACOAL80im,"Fatty acid activation"
FAE181,"Fatty acid elongation"
FAE201,"Fatty acid elongation"
FAE221,"Fatty acid elongation"
FAE224,"Fatty acid elongation"
FAE241,"Fatty acid elongation"
FAE244,"Fatty acid elongation"
FE3tm,"Transport, Mitochondrial"
FECR,"Heme synthesis"
FOLtm,"Transport, Mitochondrial"
FORBHBte,"Transport, Extracellular"
FORBUTte,"Transport, Extracellular"
FRUt1r,"Transport, Extracellular"
FTHFDHm,"Folate metabolism"
FTMTm,"Unassigned"
FUC14GALACGLCGALGLUSIDEte,"Transport, Extracellular"
FUC14GALACGLCGALGLUSIDEtg,"Transport, Golgi Apparatus"
FUMSUCCtm,"Transport, Mitochondrial"
FUMm,"Citric acid cycle"
FUT31g,"Blood group synthesis"
G12MT1,"N-glycan synthesis"
G12MT2,"N-glycan synthesis"
G13MT,"N-glycan synthesis"
G14T2g,"Keraton sulfate synthesis"
G14T3g,"Keraton sulfate synthesis"
G14T4g,"Keraton sulfate synthesis"
G14T5g,"Keraton sulfate synthesis"
G16MT,"N-glycan synthesis"
G5SADr,"Arginine and proline metabolism"
G5SDym,"Urea cycle"
GABAVESSEC,"Transport, Extracellular"
GACMTRc,"Urea cycle"
GALASE16ly,"Keraton sulfate degradation"
