Reaction,Subsystem
2MCITt,"Transport, Extracellular"
3AIB_Dtm,"Transport, Mitochondrial"
3HAD100m,"Fatty acid oxidation"
3HAD140m,"Fatty acid oxidation"
3HAD60m,"Fatty acid oxidation"
3HAD80m,"Fatty acid oxidation"
3HDH100m,"Fatty acid oxidation"
3HDH140m,"Fatty acid oxidation"
3HDH60m,"Fatty acid oxidation"
3HDH80m,"Fatty acid oxidation"
3HGLUTCOAm,"Lysine metabolism"
3OHGLUTACOAT3t,"Transport, Extracellular"
3OHGLUTACm,"Lysine metabolism"
3OHGLUTACtm,"Transport, Mitochondrial"
56DTHMtm,"Transport, Mitochondrial"
AASAD3,"Lysine metabolism"
ABUTt2r,"Transport, Extracellular"
ACACFORte,"Transport, Extracellular"
ACACT100m,"Fatty acid oxidation"
ACACT140m,"Fatty acid oxidation"
ACACT60m,"Fatty acid oxidation"
ACACT80m,"Fatty acid oxidation"
ACOA40ORm,"Fatty acid oxidation"
ACOAD100m,"Fatty acid oxidation"
ACOAD140m,"Fatty acid oxidation"
ACOAD60m,"Fatty acid oxidation"
ACOAD80m,"Fatty acid oxidation"
ACOATE100m,"Fatty acid oxidation"
ACOD,"Unassigned"
ACONTbm,"Citric acid cycle"
ACt2m,"Transport, Mitochondrial"
AHCYStn,"Transport, Nuclear"
AKGCITtm,"Transport, Mitochondrial"
AKGGHTRDtm,"Transport, Mitochondrial"
AKGICITtm,"Transport, Mitochondrial"
AKGtn,"Transport, Nuclear"
AKR1C42,"Bile acid synthesis"
ALATA_L,"Glutamate metabolism"
ALATA_Lm,"Citric acid cycle"
ALAt2r,"Transport, Extracellular"
ALCD1,"Unassigned"
AMETtn,"Transport, Nuclear"
ARTFR52,"R group synthesis"
ASPGLUm,"Transport, Mitochondrial"
ASPTAm,"Alanine and aspartate metabolism"
ATPS4m,"Oxidative phosphorylation"
ATPt4,"Transport, Mitochondrial"
BETALDHxm,"Glycine, serine and threonine metabolism"
BHB2HBte,"Transport, Extracellular"
BHMT,"Glycine, serine and threonine metabolism"
BILDGLCURtr,"Transport, Endoplasmic reticular"
BILGLCURtr,"Transport, Endoplasmic reticular"
BILIRED,"Heme synthesis"
BILIRUBtr,"Transport, Endoplasmic reticular"
BPGP,"Glycolysis/Gluconeogenesis"
BUP2,"Nucleotide salvage pathway"
BUTRETNte,"Transport, Extracellular"
C160CPT2,"Carnitine metabolism"
